Team,Wins,Losses
OAK,98.758008221556,63.241991778444
LAA,95.5633269354325,66.4366730645675
DET,90.60257289947063,71.39742710052937
WSN,90.04179938446501,71.95820061553499
LAD,88.00742085115915,73.99257914884085
SFG,87.66062699888163,74.33937300111837
MIL,87.49629239093025,74.50370760906975
STL,87.28280911430275,74.71719088569725
ATL,87.20899165752633,74.79100834247367
BAL,86.07907312919912,75.92092687080088
PIT,85.62091222018152,76.37908777981848
SEA,83.79003173402003,78.20996826597997
TOR,83.11350290651474,78.88649709348526
CIN,82.4606777041797,79.5393222958203
NYY,82.4168587429815,79.5831412570185
CLE,81.63021578140024,80.36978421859976
KCR,81.01560196511441,80.98439803488559
TBR,80.30613600165452,81.69386399834548
NYM,77.74354189942204,84.25645810057796
BOS,77.41365950710113,84.58634049289887
CHW,76.78121120197622,85.21878879802378
MIA,75.88551583000236,86.11448416999764
MIN,75.26175186188767,86.73824813811233
SDP,71.77890649520481,90.22109350479519
ARI,71.76861526868338,90.23138473131662
CHC,71.21173986646107,90.78826013353893
PHI,70.2160404912213,91.7839595087787
HOU,70.16298789815585,91.83701210184415
COL,69.07574990873434,92.92425009126566
TEX,66.19288179364221,95.80711820635779
