Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,33,28.8,4.73,162,6234,5515,767,1444,239,29,169,712,125,48,560,946,.262,.331,.408,.739,97,2248,127,36,73,50,46,1165
BAL,41,29.3,4.85,162,6310,5508,786,1470,287,24,157,744,73,54,655,930,.267,.346,.413,.759,101,2276,131,41,49,56,52,1202
BOS,39,29.7,4.23,162,6196,5496,686,1451,319,29,114,644,73,38,508,871,.264,.330,.395,.725,90,2170,146,62,80,49,69,1154
CHC,38,28.0,4.53,163,6217,5627,738,1521,259,32,161,706,100,43,446,923,.270,.325,.414,.739,99,2327,131,34,67,42,61,1133
CHW,43,28.9,4.79,162,6253,5483,776,1454,228,44,162,731,106,57,604,834,.265,.338,.411,.750,103,2256,126,33,72,61,52,1150
CIN,51,28.4,4.46,162,6164,5517,722,1457,261,28,137,669,142,59,485,1025,.264,.324,.396,.720,92,2185,104,32,63,66,42,1125
CLE,48,27.2,4.88,162,6267,5619,790,1547,264,31,141,747,159,55,488,843,.275,.335,.409,.743,99,2296,131,49,39,72,57,1128
COL,46,27.7,4.68,162,6073,5517,758,1507,278,59,142,704,146,90,388,944,.273,.323,.422,.745,87,2329,125,46,70,52,40,978
DET,40,30.7,5.55,162,6505,5620,899,1546,282,38,178,853,104,63,765,1122,.275,.362,.434,.796,115,2438,101,35,33,52,50,1312
HOU,36,27.1,4.42,162,6136,5464,716,1459,288,37,138,656,103,60,497,911,.267,.330,.409,.739,102,2235,125,40,82,47,58,1116
KCR,43,30.0,4.17,162,6101,5522,675,1455,294,35,125,641,100,75,428,936,.263,.320,.397,.717,88,2194,107,52,48,51,50,1090
LAD,35,28.8,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,.261,.321,.383,.704,93,2138,105,27,107,47,48,1162
MIL,40,28.4,4.52,162,6222,5525,733,1426,240,25,125,688,138,93,555,932,.258,.328,.378,.706,91,2091,117,40,57,45,52,1112
MIN,41,29.5,4.28,162,6209,5601,693,1480,261,27,121,642,83,59,493,850,.264,.327,.385,.713,92,2158,150,51,27,37,35,1145
NYM,41,29.4,4.15,162,6057,5448,672,1350,228,37,158,632,79,50,448,879,.248,.305,.390,.696,87,2126,108,24,89,47,43,1011
NYY,41,29.7,5.07,162,6359,5615,821,1568,294,24,178,793,39,35,629,910,.279,.353,.435,.789,114,2444,149,43,22,50,47,1247
OAK,43,28.2,4.41,162,6295,5543,715,1408,260,21,158,679,131,59,622,1048,.254,.330,.394,.724,100,2184,125,33,46,49,45,1188
PHI,40,29.3,5.41,162,6527,5685,877,1555,297,51,156,811,91,32,665,1049,.274,.351,.426,.777,109,2422,107,42,84,51,70,1281
PIT,47,28.1,4.36,162,6269,5549,707,1482,267,50,110,664,92,55,536,972,.267,.335,.393,.727,96,2179,129,55,76,52,50,1199
SDP,46,26.9,4.19,162,6137,5503,679,1386,239,28,153,633,92,41,443,1046,.252,.312,.389,.701,86,2140,111,59,80,50,43,1090
SEA,48,28.0,4.53,162,6288,5494,734,1429,272,24,161,681,91,68,624,901,.260,.339,.406,.745,99,2232,132,56,63,51,73,1200
SFG,42,28.0,4.99,162,6271,5557,808,1534,269,33,168,759,120,65,516,930,.276,.340,.427,.767,108,2373,121,46,102,50,88,1155
STL,39,28.0,4.68,162,6279,5551,758,1508,262,34,118,724,153,72,588,882,.272,.341,.395,.736,100,2192,128,27,59,54,50,1177
TEX,44,27.8,5.15,162,6166,5510,835,1472,284,39,181,780,113,67,483,984,.267,.329,.431,.760,107,2377,111,48,69,56,56,1034
TOR,38,29.2,5.23,162,6319,5579,847,1556,317,42,159,796,170,49,588,861,.279,.350,.436,.786,110,2434,138,52,46,54,57,1187
