Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.57,,162,6247,5548,740,1425,309,25,147,91,34,555,992,.257,.327,.401,.728,.287,2225,145,42,63,39,69,78
BAL,5.03,,163,6366,5683,820,1579,309,27,198,121,37,526,981,.278,.346,.446,.792,.304,2536,139,80,42,35,43,59
BOS,4.99,,162,6355,5711,809,1503,328,40,153,101,35,488,1141,.263,.327,.415,.742,.302,2370,109,76,28,52,41,64
CHC,4.22,,162,6227,5421,683,1304,248,19,143,70,42,617,1404,.241,.324,.372,.697,.297,2019,136,71,82,36,36,66
CHW,4.41,,162,6067,5390,715,1364,279,24,162,58,29,518,1056,.253,.322,.404,.725,.284,2177,135,53,48,57,30,50
CIN,5.47,,162,6423,5672,886,1578,348,37,209,77,28,590,932,.278,.349,.463,.812,.299,2627,126,48,70,43,61,74
CLE,4.80,,162,6254,5592,778,1477,306,31,179,84,43,501,943,.264,.329,.426,.755,.287,2382,149,64,51,46,37,75
COL,5.51,,162,6364,5621,892,1629,325,44,200,73,42,552,866,.290,.359,.470,.829,.310,2642,141,84,54,53,51,65
DET,5.73,,162,6376,5656,928,1616,308,48,195,128,54,557,764,.286,.352,.461,.813,.299,2605,163,56,47,60,35,90
HOU,4.18,,162,6176,5435,677,1350,262,31,161,86,48,565,1139,.248,.326,.397,.722,.285,2157,126,74,66,36,53,63
KCR,5.35,,162,6366,5633,867,1569,329,34,190,95,42,566,865,.279,.348,.450,.798,.297,2536,119,66,36,65,33,68
LAD,3.43,,162,6001,5354,556,1254,205,27,127,117,75,526,1289,.234,.306,.354,.660,.285,1894,137,40,62,19,35,60
MIL,5.39,,162,6459,5707,873,1590,304,43,219,100,37,575,1034,.279,.348,.462,.810,.305,2637,121,61,69,47,43,72
MIN,4.68,,162,6246,5699,758,1526,302,24,187,70,27,402,997,.268,.319,.428,.747,.294,2437,93,50,54,41,35,40
NYM,4.68,,161,6204,5475,754,1497,317,41,168,98,52,576,907,.273,.345,.438,.783,.299,2400,127,45,63,43,71,72
NYY,4.39,,163,6209,5700,716,1512,323,25,145,92,37,375,1119,.265,.314,.407,.721,.305,2320,104,49,37,48,36,72
OAK,3.97,,162,6078,5441,643,1336,248,20,140,91,43,499,1018,.246,.314,.376,.689,.277,2044,128,54,55,29,42,54
PHI,4.30,,162,6195,5474,697,1386,315,33,142,112,24,536,1060,.253,.327,.401,.727,.289,2193,138,77,79,29,51,54
PIT,4.94,,162,6293,5605,801,1527,301,27,178,69,26,502,926,.272,.336,.431,.767,.297,2416,140,61,81,44,58,74
SDP,5.13,,162,6303,5522,831,1458,259,37,208,95,25,611,1091,.264,.341,.437,.778,.292,2415,112,62,54,53,52,61
SEA,3.93,,162,6025,5427,637,1340,220,14,173,62,32,466,1001,.247,.311,.388,.699,.272,2107,131,54,35,43,24,41
SFG,3.96,,161,6090,5387,638,1349,259,31,136,67,29,546,1006,.250,.321,.386,.707,.282,2078,137,43,61,53,34,52
STL,4.91,,162,6375,5688,796,1544,335,30,210,55,24,508,969,.271,.336,.452,.787,.293,2569,114,65,68,45,36,50
TEX,5.98,,162,6413,5648,969,1625,351,37,208,96,45,603,1009,.288,.360,.473,.833,.316,2674,139,63,41,56,45,48
TOR,5.10,,162,6270,5660,826,1560,300,42,184,126,32,485,984,.276,.337,.441,.778,.304,2496,141,57,29,38,46,70
