Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ARI,4.29,,162,6338,5692,695,1460,299,26,176,48,22,485,1218,.257,.320,.411,.731,.296,2339,120,60,64,37,42,40
ATL,3.38,,162,5989,5443,548,1326,259,24,127,79,32,409,1232,.244,.301,.370,.671,.292,2014,115,51,57,28,35,48
BAL,4.38,,162,6144,5543,709,1438,283,22,202,63,32,473,1169,.259,.321,.428,.749,.293,2371,147,50,33,43,32,38
BOS,4.05,,162,6143,5509,656,1366,281,26,156,133,43,524,1294,.248,.316,.393,.710,.295,2167,118,47,21,42,10,44
CHC,4.25,,162,6149,5448,689,1332,301,33,160,107,42,540,1184,.244,.318,.400,.718,.283,2179,106,62,62,35,43,60
CHW,4.46,,162,6214,5564,723,1424,256,22,182,102,35,509,1249,.256,.322,.408,.730,.297,2270,129,60,33,48,24,68
CIN,3.64,,162,6077,5478,589,1293,252,25,170,70,35,435,1296,.236,.298,.384,.683,.277,2105,120,66,62,36,28,45
CLE,4.09,,162,6154,5467,662,1359,267,21,147,84,31,554,1379,.249,.322,.386,.708,.305,2109,118,58,38,36,26,52
COL,4.69,,162,6248,5586,760,1545,348,32,136,89,33,517,1064,.277,.340,.423,.763,.318,2365,139,40,59,46,52,48
DET,3.85,,162,6119,5539,624,1369,259,28,128,128,29,462,1428,.247,.308,.373,.681,.308,2068,117,42,33,42,29,34
HOU,5.23,,162,6370,5620,848,1530,314,41,191,98,37,616,1084,.272,.347,.445,.792,.305,2499,145,56,31,46,32,65
KCR,3.71,,162,6049,5467,601,1366,238,24,155,77,36,469,1208,.250,.311,.387,.699,.292,2117,120,41,25,47,21,44
LAA,4.55,,162,6298,5646,737,1475,286,21,167,131,35,533,1200,.261,.328,.408,.736,.303,2304,118,45,37,35,36,54
LAD,3.59,,162,6032,5434,582,1321,243,18,127,63,40,460,1292,.243,.306,.365,.670,.295,1981,137,43,64,29,44,70
MIA,3.99,,162,6166,5483,646,1376,270,48,121,90,37,526,1177,.251,.319,.384,.703,.297,2105,125,47,63,46,58,41
MIL,4.24,,162,6100,5484,687,1401,215,17,175,99,30,466,1125,.255,.317,.397,.713,.290,2175,125,43,64,40,29,66
MIN,4.86,,162,6257,5679,788,1591,310,30,168,73,38,458,985,.280,.336,.434,.770,.311,2465,147,44,27,49,31,48
NYM,4.22,,162,6249,5623,684,1442,272,19,152,87,29,458,1209,.256,.316,.393,.709,.299,2208,116,54,66,48,38,56
NYY,4.14,,162,6128,5563,671,1452,303,14,171,72,30,437,1233,.261,.318,.413,.731,.305,2296,117,51,29,46,34,37
OAK,3.86,,162,6069,5529,625,1339,229,19,163,87,27,428,1183,.242,.299,.379,.678,.278,2095,96,35,35,42,23,62
PHI,4.62,,162,6213,5538,749,1465,308,36,152,114,35,506,1199,.265,.331,.415,.746,.310,2301,122,62,63,43,33,61
PIT,3.56,,162,6147,5468,577,1299,223,19,101,95,43,515,1261,.238,.309,.341,.650,.289,1863,134,70,54,40,26,62
SDP,4.32,,162,6179,5511,700,1407,270,38,156,107,43,525,1171,.255,.322,.403,.725,.296,2221,106,40,64,39,31,41
SEA,4.65,,162,6257,5658,754,1467,315,27,174,89,30,478,1297,.259,.319,.417,.736,.305,2358,128,42,31,47,48,54
SFG,4.27,,162,6163,5491,691,1380,277,25,145,95,41,521,1256,.251,.320,.390,.710,.299,2142,112,50,61,38,64,54
STL,3.68,,162,6104,5494,596,1366,263,29,112,39,26,451,1254,.249,.311,.368,.680,.301,2023,160,64,63,32,26,46
TBR,3.96,,163,6083,5482,646,1315,254,30,153,119,33,482,1310,.240,.305,.381,.686,.286,2088,120,52,25,42,38,30
TEX,3.90,,163,6146,5526,636,1370,261,19,157,73,34,498,1309,.248,.313,.387,.701,.296,2140,129,48,30,44,35,48
TOR,4.67,,162,6250,5608,756,1451,304,25,195,87,29,500,1208,.259,.324,.426,.750,.295,2390,125,65,28,47,33,65
WSN,3.86,,162,6038,5497,626,1367,262,14,142,95,20,405,1236,.249,.305,.379,.683,.296,2083,121,48,61,26,17,68
