Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,21,28.8,4.66,44,58,.431,4.25,102,102,100,2,3,1,27,910.2,934,475,430,108,286,28,801,27,2,28,3889,90,3.95,1.340,9.2,1.1,2.8,7.9,2.80,682
ATL,19,27.3,3.64,55,46,.545,3.32,101,101,98,3,10,2,37,913.1,855,368,337,76,293,20,840,20,1,51,3812,111,3.41,1.257,8.4,0.7,2.9,8.3,2.87,704
BAL,18,27.8,4.05,55,45,.550,3.86,100,100,98,2,7,1,31,899.1,875,405,385,101,316,21,689,45,2,25,3820,102,4.27,1.324,8.8,1.0,3.2,6.9,2.18,717
BOS,17,31.1,4.20,47,54,.465,3.79,101,101,99,2,6,1,23,915.0,900,424,385,100,278,10,812,21,3,32,3859,104,3.77,1.287,8.9,1.0,2.7,8.0,2.92,690
CHC,20,28.3,4.25,41,58,.414,3.91,99,99,99,0,7,0,18,888.2,829,421,385,67,330,26,817,33,1,36,3780,101,3.51,1.304,8.4,0.7,3.3,8.3,2.48,693
CHW,23,27.8,4.51,48,54,.471,4.18,102,102,100,2,3,0,22,909.2,894,460,421,85,374,23,727,42,2,54,3943,96,4.12,1.394,8.8,0.8,3.7,7.2,1.94,754
CIN,20,28.2,3.73,51,50,.505,3.53,101,101,97,4,8,3,28,903.1,800,377,354,102,296,18,803,36,5,21,3774,106,3.93,1.213,8.0,1.0,2.9,8.0,2.71,687
CLE,21,27.6,4.42,51,50,.505,3.92,101,101,99,2,5,1,26,906.2,895,446,393,92,325,29,878,32,2,45,3885,97,3.70,1.346,8.9,0.9,3.2,8.7,2.70,719
COL,25,28.7,5.27,41,60,.406,5.06,102,102,101,0,1,0,17,891.0,970,538,499,116,340,20,660,32,7,51,3925,84,4.60,1.470,9.8,1.2,3.4,6.7,1.94,714
DET,21,28.5,4.30,56,42,.571,4.03,98,98,95,3,5,3,25,878.1,877,421,393,86,281,14,731,25,6,27,3715,102,3.79,1.318,9.0,0.9,2.9,7.5,2.60,659
HOU,24,28.1,4.76,42,59,.416,4.42,101,101,98,3,2,1,17,894.2,925,481,439,88,329,20,720,40,4,29,3889,91,4.05,1.402,9.3,0.9,3.3,7.2,2.19,724
KCR,21,28.9,3.97,50,50,.500,3.71,100,100,100,0,7,0,27,892.2,874,397,368,88,283,8,715,41,4,38,3787,111,3.91,1.296,8.8,0.9,2.9,7.2,2.53,712
LAA,29,28.0,4.09,60,40,.600,3.76,100,100,98,2,5,1,27,915.2,803,409,383,86,318,21,852,43,3,51,3814,100,3.67,1.224,7.9,0.8,3.1,8.4,2.68,658
LAD,19,30.1,3.73,56,47,.544,3.41,103,103,99,4,12,2,32,921.2,846,384,349,91,280,26,860,30,3,39,3839,105,3.57,1.222,8.3,0.9,2.7,8.4,3.07,690
MIA,23,26.4,4.43,47,53,.470,4.01,100,100,97,3,10,3,25,907.1,924,443,404,79,288,28,757,34,4,34,3892,97,3.67,1.336,9.2,0.8,2.9,7.5,2.63,727
MIL,20,29.1,4.19,57,45,.559,3.77,102,102,100,2,6,2,30,928.2,886,427,389,113,266,11,787,25,2,22,3891,101,3.97,1.240,8.6,1.1,2.6,7.6,2.96,678
MIN,17,29.9,4.46,46,54,.460,4.29,100,100,98,2,7,0,26,889.2,947,446,424,79,250,12,612,20,5,29,3794,94,3.83,1.345,9.6,0.8,2.5,6.2,2.45,679
NYM,20,29.2,3.80,48,53,.475,3.49,101,101,100,1,7,1,23,920.0,855,384,357,83,333,29,809,29,0,38,3883,102,3.74,1.291,8.4,0.8,3.3,7.9,2.43,739
NYY,27,29.1,4.24,52,48,.520,3.81,100,100,96,4,7,1,32,902.2,882,424,382,109,251,17,857,44,4,30,3817,105,3.79,1.255,8.8,1.1,2.5,8.5,3.41,685
OAK,21,28.0,3.45,62,38,.620,3.13,100,100,97,3,9,1,23,917.1,794,345,319,86,269,18,769,32,1,35,3765,121,3.67,1.159,7.8,0.8,2.6,7.5,2.86,668
PHI,23,30.4,4.44,43,58,.426,4.00,101,101,99,2,8,0,23,921.0,877,448,408,91,342,33,785,42,0,28,3955,94,3.97,1.324,8.6,0.9,3.3,7.7,2.30,744
