Team	totalClutch
ARI	-0.23205531
ATL	0.105367009
BAL	0.431746962
BOS	-0.082618495
CHC	-0.113222388
CHW	-0.06031148
CIN	0.297500247
CLE	0.108415856
COL	-0.125273523
DET	0.281192533
HOU	-0.591437834
KCR	0.213802986
LAA	0.275370815
LAD	0.260250601
MIA	0.136655714
MIL	0.147288311
MIN	-0.016936847
NYM	0.34484119
NYY	-0.137339806
OAK	0.886934606
PHI	-0.047973516
PIT	-0.060138094
SDP	-0.138477629
SEA	0.559461999
SFG	0.274170816
STL	-0.002087347
TBR	-0.285017541
TEX	-0.21725292
TOR	0.25942153
WSN	0.3235047
