Year	WL
2014	0.606
2013	0.481
2012	0.549
2011	0.531
2010	0.494
2009	0.599
2008	0.617
2007	0.58
2006	0.549
2005	0.586
2004	0.568
2003	0.475
2002	0.611
2001	0.463
2000	0.506
1999	0.432
1998	0.525
1997	0.519
1996	0.435
1995	0.538
1994	0.409
1993	0.438
1992	0.444
1991	0.5
1990	0.494
1989	0.562
1988	0.463
1987	0.463
1986	0.568
1985	0.556
1984	0.5
1983	0.432
1982	0.574
1981	0.464
1980	0.406
1979	0.543
1978	0.537
1977	0.457
1976	0.469
1975	0.447
1974	0.42
1973	0.488
1972	0.484
1971	0.469
1970	0.531
1969	0.438
1968	0.414
1967	0.522
1966	0.494
1965	0.463
1964	0.506
1963	0.435
1962	0.531
1961	0.435
