Year	WL
2014	0.5
2013	0.525
2012	0.586
2011	0.599
2010	0.586
2009	0.636
2008	0.549
2007	0.58
2006	0.599
2005	0.586
2004	0.623
2003	0.623
2002	0.64
2001	0.594
2000	0.54
1999	0.605
1998	0.704
1997	0.593
1996	0.568
1995	0.549
1994	0.619
1993	0.543
1992	0.469
1991	0.438
1990	0.414
1989	0.46
1988	0.528
1987	0.549
1986	0.556
1985	0.602
1984	0.537
1983	0.562
1982	0.488
1981	0.551
1980	0.636
1979	0.556
1978	0.613
1977	0.617
1976	0.61
1975	0.519
1974	0.549
1973	0.494
1972	0.51
1971	0.506
1970	0.574
1969	0.497
1968	0.512
1967	0.444
1966	0.44
1965	0.475
1964	0.611
1963	0.646
1962	0.593
1961	0.673
