Team,Year1,Year2
ATL,0.685394621,0.316560688
BAL,0.144992059,0.406578691
BOS,0.01641508,-0.154589372
CHC,0.075939433,-0.087468124
CHW,0.276533971,0.355288452
CIN,-0.005111421,0.45491438
CLE,0.240458063,0.264317423
COL,-0.198831901,0.037445223
DET,0.12919705,0.012087078
HOU,0.276372262,0.341195353
KCR,-0.030218807,0.250916926
LAD,0.124507105,0.204706265
MIL,0.159316563,0.117238927
MIN,-0.13964603,-0.02069141
NYM,-0.006000384,0.257615834
NYY,0.165590823,0.45096987
OAK,-0.279366496,0.016025433
PHI,0.268934328,0.292198488
PIT,-0.108014151,-0.187746041
SDP,-0.081411631,-0.240331198
SEA,0.010938321,-0.184642686
SFG,0.543215642,0.156253968
STL,0.16443598,-0.184896233
TEX,0.397029111,-0.191414615
TOR,0.177997817,0.125142655
ATL,0.316560688,0.443970715
BAL,0.406578691,0.128267045
BOS,-0.154589372,0.083201417
CHC,-0.087468124,0.235398481
CHW,0.355288452,0.068121058
CIN,0.45491438,0.266347358
CLE,0.264317423,0.622105201
COL,0.037445223,-0.00953543
DET,0.012087078,-0.318945027
HOU,0.341195353,0.248014809
KCR,0.250916926,-0.144839741
LAD,0.204706265,0.001294981
MIL,0.117238927,0.341161041
MIN,-0.02069141,-0.256719155
NYM,0.257615834,0.415643333
NYY,0.45096987,0.31253493
OAK,0.016025433,-0.101818084
PHI,0.292198488,0.011903526
PIT,-0.187746041,-0.126568224
SDP,-0.240331198,0.068283077
SEA,-0.184642686,0.447967237
SFG,0.156253968,-0.347685156
STL,-0.184896233,-0.089322831
TEX,-0.191414615,0.015629522
TOR,0.125142655,-0.405243027
ATL,0.443970715,0.223272324
BAL,0.128267045,0.103116062
BOS,0.083201417,0.131949905
CHC,0.235398481,0.305712922
CHW,0.068121058,0.29156031
CIN,0.266347358,0.102960788
CLE,0.622105201,0.273611916
COL,-0.00953543,0.04090548
DET,-0.318945027,-0.291838467
HOU,0.248014809,0.032355427
KCR,-0.144839741,0.047124955
LAD,0.001294981,0.382560717
MIL,0.341161041,0.189051718
MIN,-0.256719155,0.167273534
NYM,0.415643333,0.106794646
NYY,0.31253493,0.195153156
OAK,-0.101818084,0.064463802
PHI,0.011903526,-0.517526777
PIT,-0.126568224,0.116943169
SDP,0.068283077,0.267982321
SEA,0.447967237,0.156502219
SFG,-0.347685156,-0.080820827
STL,-0.089322831,0.306230802
TEX,0.015629522,0.209523758
TOR,-0.405243027,-0.136443148
ATL,0.223272324,0.527592037
BAL,0.103116062,0.565666978
BOS,0.131949905,-0.017559135
CHC,0.305712922,0.213001479
CHW,0.29156031,-0.008495825
CIN,0.102960788,-0.295375218
CLE,0.273611916,0.067392779
COL,0.04090548,0.184837081
DET,-0.291838467,0.086214802
HOU,0.032355427,0.261009711
KCR,0.047124955,-0.198533973
LAD,0.382560717,0.484034351
MIL,0.189051718,-0.017441055
MIN,0.167273534,-0.124155248
NYM,0.106794646,0.486471965
NYY,0.195153156,0.610600514
OAK,0.064463802,-0.236387988
PHI,-0.517526777,-0.261199031
PIT,0.116943169,0.002313975
SDP,0.267982321,-0.092463418
SEA,0.156502219,0.114691931
SFG,-0.080820827,-0.071619978
STL,0.306230802,-0.186916271
TEX,0.209523758,0.034857512
TOR,-0.136443148,-0.064652019
ATL,0.527592037,0.515373844
BAL,0.565666978,0.057830029
BOS,-0.017559135,0.301590657
CHC,0.213001479,0.290290085
CHW,-0.008495825,-0.072594378
CIN,-0.295375218,0.113473684
CLE,0.067392779,0.226326361
COL,0.184837081,-0.021684154
DET,0.086214802,-0.327001409
HOU,0.261009711,0.801550159
KCR,-0.198533973,-0.34989858
LAD,0.484034351,0.10609548
MIL,-0.017441055,0.014692972
MIN,-0.124155248,0.061534413
NYM,0.486471965,0.518595867
NYY,0.610600514,0.678451599
OAK,-0.236387988,0.032657153
PHI,-0.261199031,-0.065762432
PIT,0.002313975,0.008180844
SDP,-0.092463418,0.425228389
SEA,0.114691931,-0.038042331
SFG,-0.071619978,0.401750326
STL,-0.186916271,-0.159578163
TEX,0.034857512,0.169092752
TOR,-0.064652019,0.124157475
ATL,0.515373844,0.410759311
BAL,0.057830029,0.084498209
BOS,0.301590657,0.254078314
CHC,0.290290085,-0.300365229
CHW,-0.072594378,-0.033044868
CIN,0.113473684,0.510137151
CLE,0.226326361,0.302781939
COL,-0.021684154,0.061410742
DET,-0.327001409,-0.338879327
HOU,0.801550159,0.347140093
KCR,-0.34989858,0.0151273
LAD,0.10609548,0.131310979
MIL,0.014692972,0.071716822
MIN,0.061534413,-0.167741991
NYM,0.518595867,0.479878249
NYY,0.678451599,0.37122511
OAK,0.032657153,-0.002861764
PHI,-0.065762432,0.106501041
PIT,0.008180844,0.130391882
SDP,0.425228389,-0.161587708
SEA,-0.038042331,-0.016874305
SFG,0.401750326,0.198002572
STL,-0.159578163,-0.046393349
TEX,0.169092752,0.15669383
TOR,0.124157475,0.099333111
ATL,0.410759311,0.234298164
BAL,0.084498209,-0.179531039
BOS,0.254078314,0.205365738
CHC,-0.300365229,-0.261229903
CHW,-0.033044868,0.363144117
CIN,0.510137151,0.347736185
CLE,0.302781939,0.231434469
COL,0.061410742,0.411391968
DET,-0.338879327,-0.013517068
HOU,0.347140093,0.02413628
KCR,0.0151273,0.309295754
LAD,0.131310979,0.234547274
MIL,0.071716822,-0.070443688
MIN,-0.167741991,-0.16684492
NYM,0.479878249,0.267013228
NYY,0.37122511,0.083497181
OAK,-0.002861764,0.31997075
PHI,0.106501041,-0.23700565
PIT,0.130391882,-0.106465072
SDP,-0.161587708,-0.012552213
SEA,-0.016874305,0.272196308
SFG,0.198002572,0.352386121
STL,-0.046393349,0.285680027
TEX,0.15669383,-0.075643621
TOR,0.099333111,-0.176665541
ATL,0.234298164,0.359673769
BAL,-0.179531039,-0.083232811
BOS,0.205365738,0.15045728
CHC,-0.261229903,0.281230895
